episode,action,reward,posx,posy
0,0,-0.0004,571.6000061035156,54.55000305175781
0,1,-0.0004,565.1391906738281,52.86582946777344
0,2,-0.0004,558.0646209716797,49.34846496582031
0,3,-0.0004,546.7322540283203,48.86781311035156
0,4,-0.0004,535.6431732177734,49.53706359863281
0,5,-0.0004,528.163330078125,49.9884033203125
0,6,-0.0004,529.5785827636719,51.976776123046875
0,7,-0.0004,526.5937194824219,57.162872314453125
0,8,-0.0004,517.188232421875,66.6048583984375
0,9,-0.0004,501.61773681640625,71.84556579589844
0,10,-0.0004,495.6077117919922,71.44978332519531
0,11,-0.0004,493.060791015625,63.49201965332031
0,12,-0.0004,481.7765197753906,49.59376525878906
0,13,-0.0004,460.8647155761719,33.229949951171875
0,14,-0.0004,435.5445861816406,22.142410278320312
0,15,-0.0004,418.30064392089844,9.683395385742188
0,16,-0.0004,418.1399841308594,-4.47113037109375
0,17,-0.0004,421.88787841796875,-7.2059478759765625
0,18,-0.0004,422.25457763671875,-12.556137084960938
0,19,-0.0004,420.6776428222656,-15.979049682617188
0,20,-0.0004,409.46348571777344,-15.991043090820312
0,21,-0.0004,401.5588073730469,-15.991043090820312
0,22,-0.0004,400.32432556152344,-15.991043090820312
0,23,-0.0004,400.3082275390625,-15.992340087890625
0,24,-0.0004,400.3082275390625,-15.992340087890625
0,25,-0.0004,404.0340576171875,-9.804641723632812
0,26,-0.0004,402.10289001464844,0.3488311767578125
0,27,-0.0004,400.0232849121094,8.139907836914062
0,28,-0.0004,400.01792907714844,7.8274383544921875
0,29,-0.0004,404.64654541015625,0.2021026611328125
0,30,-0.0004,409.4327697753906,-14.209640502929688
0,31,-0.0004,416.4726257324219,-15.623092651367188
0,32,-0.0004,422.89898681640625,-14.573150634765625
0,33,-0.0004,436.9677429199219,-15.292724609375
0,34,-0.0004,446.63307189941406,-15.97821044921875
0,35,-0.0004,453.8170928955078,-22.587249755859375
0,36,-0.0004,458.09771728515625,-21.37823486328125
0,37,-0.0004,453.3188171386719,-11.797561645507812
0,38,-0.0004,438.4047393798828,1.1408538818359375
0,39,-0.0004,424.24574279785156,13.023056030273438
0,40,-0.0004,418.4960174560547,15.549896240234375
0,41,-0.0004,425.35987854003906,9.20654296875
0,42,-0.0004,438.70843505859375,6.308990478515625
0,43,-0.0004,445.0658416748047,13.265579223632812
0,44,-0.0004,438.6112823486328,26.005279541015625
0,45,-0.0004,430.2809600830078,37.91508483886719
0,46,-0.0004,419.3936309814453,42.29942321777344
0,47,-0.0004,416.4519805908203,45.00508117675781
0,48,-0.0004,415.0275573730469,56.109619140625
0,49,-0.0004,404.99578857421875,68.69810485839844
0,50,-0.0004,400.08294677734375,75.11990356445312
0,51,-0.0004,400.0238342285156,77.84208679199219
0,52,-0.0004,400.0238342285156,81.59922790527344
0,53,-0.0004,400.0238342285156,85.99879455566406
0,54,-0.0004,403.05615234375,83.95063781738281
0,55,-0.0004,410.02659606933594,74.231201171875
0,56,-0.0004,418.7460632324219,71.78158569335938
0,57,-0.0004,432.3451385498047,72.09870910644531
0,58,-0.0004,454.07899475097656,69.02040100097656
0,59,-0.0004,473.65367126464844,67.90283203125
0,60,-0.0004,486.8569793701172,67.14897155761719
0,61,-0.0004,495.7627258300781,66.64039611816406
0,62,-0.0004,495.88804626464844,63.138336181640625
0,63,-0.0004,499.98211669921875,59.82684326171875
0,64,-0.0004,510.6772003173828,51.83876037597656
0,65,-0.0004,526.6475982666016,45.303253173828125
0,66,-0.0004,531.3209228515625,48.185943603515625
0,67,-0.0004,522.5211181640625,51.77783203125
0,68,-0.0004,511.46730041503906,48.33702087402344
0,69,-0.0004,497.35723876953125,39.35557556152344
0,70,-0.0004,487.8498229980469,24.000595092773438
0,71,-0.0004,483.9841613769531,11.082000732421875
0,72,-0.0004,487.2580871582031,5.5268707275390625
0,73,-0.0004,483.367431640625,9.070892333984375
0,74,-0.0004,475.73670959472656,11.577011108398438
0,75,-0.0004,470.81459045410156,20.092529296875
0,76,-0.0004,467.6126403808594,29.420440673828125
0,77,-0.0004,458.34303283691406,35.94667053222656
0,78,-0.0004,448.3568878173828,40.47175598144531
0,79,-0.0004,450.45179748535156,40.755889892578125
0,80,-0.0004,463.9171600341797,41.51593017578125
0,81,-0.0004,476.93353271484375,35.082366943359375
0,82,-0.0004,495.2099304199219,27.48883056640625
0,83,-0.0004,502.83033752441406,26.431655883789062
0,84,-0.0004,496.4524383544922,17.096588134765625
0,85,-0.0004,481.36305236816406,7.16802978515625
0,86,-0.0004,462.37684631347656,-3.8607177734375
0,87,-0.0004,457.08082580566406,-17.12567138671875
0,88,-0.0004,458.22389221191406,-18.295928955078125
0,89,-0.0004,465.72535705566406,-14.210601806640625
0,90,-0.0004,477.910400390625,-4.80914306640625
0,91,-0.0004,482.1816864013672,0.3591156005859375
0,92,-0.0004,482.10765075683594,7.0136260986328125
0,93,-0.0004,474.19847106933594,12.795761108398438
0,94,-0.0004,461.77545166015625,9.9080810546875
0,95,-0.0004,458.0348358154297,-0.0950164794921875
0,96,-0.0004,457.380859375,-1.172821044921875
0,97,-0.0004,457.1880340576172,-5.1427001953125
0,98,-0.0004,463.7327880859375,-3.7523040771484375
0,99,-0.0004,476.1593780517578,-3.13092041015625
0,100,-0.0004,483.8092498779297,1.6364898681640625
0,101,-0.0004,486.53167724609375,-0.3550262451171875
0,102,-0.0004,484.29345703125,-10.187637329101562
0,103,-0.0004,485.6172790527344,-15.994461059570312
0,104,-0.0004,496.13739013671875,-15.145553588867188
0,105,-0.0004,514.0039215087891,-13.278305053710938
0,106,-0.0004,526.5625305175781,-15.976760864257812
0,107,-0.0004,527.9927825927734,-12.792572021484375
0,108,-0.0004,525.33154296875,-2.11480712890625
0,109,-0.0004,513.6775054931641,7.8351593017578125
